class,feature,coefficient,abs_coefficient,model,target
Cluster_02,disgusted,-0.2546812607146625,0.2546812607146625,post_selection_logistic,kmeans_k3
Cluster_01,small,-0.254335490191973,0.254335490191973,post_selection_logistic,kmeans_k3
Cluster_02,sound,-0.25408334666436033,0.25408334666436033,post_selection_logistic,kmeans_k3
Cluster_01,self,-0.2519591513105383,0.2519591513105383,post_selection_logistic,kmeans_k3
Cluster_02,attention,-0.23824626225590617,0.23824626225590617,post_selection_logistic,kmeans_k3
Cluster_01,audition,0.2368332290894458,0.2368332290894458,post_selection_logistic,kmeans_k3
Cluster_02,low,-0.23288067614281904,0.23288067614281904,post_selection_logistic,kmeans_k3
Cluster_03,temperature,0.23183542239340213,0.23183542239340213,post_selection_logistic,kmeans_k3
Cluster_02,pattern,-0.23100463828633377,0.23100463828633377,post_selection_logistic,kmeans_k3
Cluster_02,temperature,-0.23091175994010335,0.23091175994010335,post_selection_logistic,kmeans_k3
Cluster_02,smell,-0.22849725614819155,0.22849725614819155,post_selection_logistic,kmeans_k3
Cluster_01,landmark,-0.2283751141592201,0.2283751141592201,post_selection_logistic,kmeans_k3
Cluster_03,pleasant,0.22479541254867627,0.22479541254867627,post_selection_logistic,kmeans_k3
Cluster_03,face,-0.22070344961961955,0.22070344961961955,post_selection_logistic,kmeans_k3
Cluster_01,benefit,-0.21750417294753893,0.21750417294753893,post_selection_logistic,kmeans_k3
Cluster_01,arousal,0.2141530438039796,0.2141530438039796,post_selection_logistic,kmeans_k3
Cluster_02,toward,-0.20464876544335514,0.20464876544335514,post_selection_logistic,kmeans_k3
Cluster_02,color,-0.198081278364079,0.198081278364079,post_selection_logistic,kmeans_k3
Cluster_03,motion,-0.19625735436700775,0.19625735436700775,post_selection_logistic,kmeans_k3
Cluster_03,upperlimb,0.19605742523842146,0.19605742523842146,post_selection_logistic,kmeans_k3
Cluster_03,smell,0.19592023154792218,0.19592023154792218,post_selection_logistic,kmeans_k3
Cluster_02,dark,-0.19574333268897393,0.19574333268897393,post_selection_logistic,kmeans_k3
Cluster_02,high,-0.19497098111078753,0.19497098111078753,post_selection_logistic,kmeans_k3
Cluster_02,angry,-0.1948538296090848,0.1948538296090848,post_selection_logistic,kmeans_k3
Cluster_01,sound,0.19466271825057238,0.19466271825057238,post_selection_logistic,kmeans_k3
Cluster_01,toward,0.194194690834156,0.194194690834156,post_selection_logistic,kmeans_k3
Cluster_01,vision,-0.18861834364141616,0.18861834364141616,post_selection_logistic,kmeans_k3
Cluster_01,practice,-0.18603948295084013,0.18603948295084013,post_selection_logistic,kmeans_k3
Cluster_02,scene,-0.1835826236702661,0.1835826236702661,post_selection_logistic,kmeans_k3
Cluster_02,audition,-0.17906362510784188,0.17906362510784188,post_selection_logistic,kmeans_k3
Cluster_02,number,0.17873296983455744,0.17873296983455744,post_selection_logistic,kmeans_k3
