Cluster,Action,Property,Thing
0,8,5,26
1,0,0,5
2,0,0,14
3,0,0,8
4,0,0,18
5,0,0,29
6,3,4,15
7,17,0,8
8,8,8,67
9,2,0,35
10,0,14,50
11,0,0,31
12,0,0,34
13,12,0,7
