model,n_features_input_after_screening,n_classes,n_coefficients_total,n_nonzero_coefficients,coefficient_sparsity_pct,n_active_features,feature_sparsity_pct
lasso,300,3,900,471,47.66666666666667,234,21.999999999999996
elastic_net,300,3,900,524,41.77777777777778,253,15.666666666666663
