model,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,n_screened_features_used,n_nonzero_features,best_C_values
lasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300,234,"[10.0, 10.0, 10.0]"
elastic_net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300,253,"[10.0, 10.0, 10.0]"
