model,class_raw,class_display,fold,C,l1_ratio,macro_f1_cv
LASSO,adjective,Property,1,0.001,,0.29677419354838713
LASSO,adjective,Property,1,0.003593813663804626,,0.29677419354838713
LASSO,adjective,Property,1,0.01291549665014884,,0.29677419354838713
LASSO,adjective,Property,1,0.046415888336127795,,0.45647773279352233
LASSO,adjective,Property,1,0.1668100537200059,,0.6830140485312898
LASSO,adjective,Property,1,0.5994842503189409,,0.7145539906103288
LASSO,adjective,Property,1,2.1544346900318843,,0.7059961315280464
LASSO,adjective,Property,1,7.742636826811277,,0.7145539906103288
LASSO,adjective,Property,1,27.825594022071257,,0.7145539906103288
LASSO,adjective,Property,1,100.0,,0.7713303245218138
LASSO,adjective,Property,2,0.001,,0.29914529914529914
LASSO,adjective,Property,2,0.003593813663804626,,0.29914529914529914
LASSO,adjective,Property,2,0.01291549665014884,,0.29914529914529914
LASSO,adjective,Property,2,0.046415888336127795,,0.4974937343358396
LASSO,adjective,Property,2,0.1668100537200059,,0.7825976661593099
LASSO,adjective,Property,2,0.5994842503189409,,0.8603988603988603
LASSO,adjective,Property,2,2.1544346900318843,,0.8603988603988603
LASSO,adjective,Property,2,7.742636826811277,,0.8960092539039907
LASSO,adjective,Property,2,27.825594022071257,,0.9061276379354183
LASSO,adjective,Property,2,100.0,,0.9061276379354183
LASSO,adjective,Property,3,0.001,,0.29914529914529914
LASSO,adjective,Property,3,0.003593813663804626,,0.29914529914529914
LASSO,adjective,Property,3,0.01291549665014884,,0.29914529914529914
LASSO,adjective,Property,3,0.046415888336127795,,0.41414141414141414
LASSO,adjective,Property,3,0.1668100537200059,,0.8163667293401379
LASSO,adjective,Property,3,0.5994842503189409,,0.7987228607918263
LASSO,adjective,Property,3,2.1544346900318843,,0.8690467427309532
LASSO,adjective,Property,3,7.742636826811277,,0.8906103286384978
LASSO,adjective,Property,3,27.825594022071257,,0.9087964666912035
LASSO,adjective,Property,3,100.0,,0.9087964666912035
LASSO,adjective,Property,4,0.001,,0.2987012987012987
LASSO,adjective,Property,4,0.003593813663804626,,0.2987012987012987
LASSO,adjective,Property,4,0.01291549665014884,,0.2987012987012987
LASSO,adjective,Property,4,0.046415888336127795,,0.49714285714285716
LASSO,adjective,Property,4,0.1668100537200059,,0.8041344620291988
LASSO,adjective,Property,4,0.5994842503189409,,0.9396135265700484
LASSO,adjective,Property,4,2.1544346900318843,,0.9719258843346434
LASSO,adjective,Property,4,7.742636826811277,,0.9259259259259259
LASSO,adjective,Property,4,27.825594022071257,,0.9259259259259259
LASSO,adjective,Property,4,100.0,,0.9259259259259259
LASSO,adjective,Property,5,0.001,,0.2987012987012987
LASSO,adjective,Property,5,0.003593813663804626,,0.2987012987012987
LASSO,adjective,Property,5,0.01291549665014884,,0.2987012987012987
LASSO,adjective,Property,5,0.046415888336127795,,0.5309470544369873
LASSO,adjective,Property,5,0.1668100537200059,,0.6848163923103489
LASSO,adjective,Property,5,0.5994842503189409,,0.7824074074074074
LASSO,adjective,Property,5,2.1544346900318843,,0.8041344620291988
LASSO,adjective,Property,5,7.742636826811277,,0.7859154929577464
LASSO,adjective,Property,5,27.825594022071257,,0.7859154929577464
LASSO,adjective,Property,5,100.0,,0.7859154929577464
LASSO,noun,Thing,1,0.001,,0.29677419354838713
LASSO,noun,Thing,1,0.003593813663804626,,0.29677419354838713
LASSO,noun,Thing,1,0.01291549665014884,,0.29677419354838713
LASSO,noun,Thing,1,0.046415888336127795,,0.45647773279352233
LASSO,noun,Thing,1,0.1668100537200059,,0.6830140485312898
LASSO,noun,Thing,1,0.5994842503189409,,0.7145539906103288
LASSO,noun,Thing,1,2.1544346900318843,,0.7059961315280464
LASSO,noun,Thing,1,7.742636826811277,,0.7145539906103288
LASSO,noun,Thing,1,27.825594022071257,,0.7145539906103288
LASSO,noun,Thing,1,100.0,,0.7713303245218138
LASSO,noun,Thing,2,0.001,,0.29914529914529914
LASSO,noun,Thing,2,0.003593813663804626,,0.29914529914529914
LASSO,noun,Thing,2,0.01291549665014884,,0.29914529914529914
LASSO,noun,Thing,2,0.046415888336127795,,0.4974937343358396
LASSO,noun,Thing,2,0.1668100537200059,,0.7825976661593099
LASSO,noun,Thing,2,0.5994842503189409,,0.8603988603988603
LASSO,noun,Thing,2,2.1544346900318843,,0.8603988603988603
LASSO,noun,Thing,2,7.742636826811277,,0.8960092539039907
LASSO,noun,Thing,2,27.825594022071257,,0.9061276379354183
LASSO,noun,Thing,2,100.0,,0.9061276379354183
LASSO,noun,Thing,3,0.001,,0.29914529914529914
LASSO,noun,Thing,3,0.003593813663804626,,0.29914529914529914
LASSO,noun,Thing,3,0.01291549665014884,,0.29914529914529914
LASSO,noun,Thing,3,0.046415888336127795,,0.41414141414141414
LASSO,noun,Thing,3,0.1668100537200059,,0.8163667293401379
LASSO,noun,Thing,3,0.5994842503189409,,0.7987228607918263
LASSO,noun,Thing,3,2.1544346900318843,,0.8690467427309532
LASSO,noun,Thing,3,7.742636826811277,,0.8906103286384978
LASSO,noun,Thing,3,27.825594022071257,,0.9087964666912035
LASSO,noun,Thing,3,100.0,,0.9087964666912035
