model,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
LASSO,train,1.0,1.0,1.0,1.0,1.0,1.0
LASSO,test,0.9532710280373832,0.9190613026819924,0.8683006535947713,0.9190613026819924,0.8903962101636519,0.9551305271800816
Elastic Net,train,1.0,1.0,1.0,1.0,1.0,1.0
Elastic Net,test,0.9532710280373832,0.9190613026819924,0.8683006535947713,0.9190613026819924,0.8903962101636519,0.9551305271800816
