feature,max_abs_class_mean_contrast
slow_x_communication,0.8654808746203362
lowerlimb_x_drive,0.8610408317088601
motion_x_short,0.8562375617022318
away_x_communication,0.8520140915953937
lowerlimb_x_cognition,0.8517050101513761
fast_x_short,0.8508808749363128
toward_x_duration,0.8493744921430769
biomotion_x_near,0.8488764565678111
slow_x_away,0.8468517771366402
near_x_unpleasant,0.8439579021194348
vision_x_benefit,0.8434259260159124
small_x_self,0.8393633688401653
path_x_happy,0.8379559503124289
long_x_self,0.8377919116513235
fast_x_communication,0.8364963255282244
slow_x_benefit,0.8336431694623155
vision_x_shape,0.829771841318534
upperlimb_x_benefit,0.8284933145343539
away_x_arousal,0.8274964943944744
shape_x_benefit,0.8273401601612439
toward_x_drive,0.8268022627412082
biomotion_x_social,0.8244143686847393
upperlimb_x_long,0.8204358298231816
large_x_self,0.8190626976282154
landmark_x_away,0.8180395672343791
toward_x_consequential,0.8150324141074295
upperlimb_x_landmark,0.8122152337194302
body_x_arousal,0.8084938707732269
path_x_needs,0.808314119508554
biomotion_x_arousal,0.8017465199719935
lowerlimb_x_communication,0.8001506661636931
short_x_cognition,0.7987663117767307
body_x_lowerlimb,0.7980447952135744
biomotion_x_drive,0.7891171934482497
upperlimb_x_scene,0.7888529337848086
biomotion_x_lowerlimb,0.787813611700416
fast_x_near,0.7877047479803325
practice_x_pleasant,0.7868334726834708
body_x_long,0.7842391597772159
color_x_sad,0.7822839272655032
slow_x_toward,0.7822029981824095
fast_x_drive,0.7805879166167059
body_x_touch,0.7745040324157251
touch_x_angry,0.7730036753751283
body_x_near,0.7706450929986066
texture_x_benefit,0.7675593118773751
complexity_x_practice,0.7619307238661027
path_x_time,0.7616429634328964
near_x_angry,0.761445862398063
practice_x_happy,0.7614147732571714
texture_x_human,0.7595489890239753
complexity_x_cognition,0.7590435112778645
weight_x_benefit,0.7583942528850897
vision_x_sad,0.7583483517663083
shape_x_drive,0.7577018934502777
lowerlimb_x_arousal,0.7570311149541715
temperature_x_self,0.7554796225832142
practice_x_toward,0.7539269590344907
slow_x_long,0.752670529774495
upperlimb,0.7473959045144385
away_sq,0.7467659665732015
upperlimb_x_drive,0.7465798367066133
path_x_angry,0.7455396982043426
near,0.7454666109885352
fast_x_upperlimb,0.7449519530439437
fast_x_landmark,0.7442678147883984
human_x_happy,0.7442537468361152
long_x_short,0.7435481374133696
biomotion_x_communication,0.7429934611264984
texture_x_drive,0.7422934313477797
away,0.7404990857601605
slow,0.7400963744021992
toward_x_caused,0.7397795808064026
slow_x_lowerlimb,0.7366170923955778
body,0.7362289812719089
small_x_drive,0.7356214234763949
vision_x_upperlimb,0.7344802521294882
scene_x_short,0.7343089006653654
practice_x_disgusted,0.7339033790715377
motion_x_human,0.7309772380487842
near_x_benefit,0.7304368143887788
near_x_time,0.729517199644796
near_x_long,0.7292673364899674
body_x_drive,0.7285593842209248
complexity_x_human,0.7275912468829057
shape,0.7270383420349205
motion_x_benefit,0.7269374129454002
upperlimb_x_practice,0.7267852671352683
biomotion_x_slow,0.7265608647848364
upperlimb_x_pleasant,0.7263723982961133
vision_sq,0.7244323361667985
human_x_benefit,0.7236443614026326
scene_x_benefit,0.7231383681069845
body_x_social,0.7220132642159315
human_x_needs,0.7208524267416196
dark_x_sad,0.7189747962722984
away_x_angry,0.7170391317176262
short_x_social,0.7169605252179997
self_x_cognition,0.7158567958172481
head_x_self,0.7148959292839204
lowerlimb_x_toward,0.7147458089205554
color_x_angry,0.7122240690085034
biomotion,0.7111211265875128
upperlimb_x_happy,0.7107957266892516
vision_x_color,0.709912020320523
self_x_unpleasant,0.7095860362728632
pattern_x_benefit,0.7091161517824147
lowerlimb_x_landmark,0.7081610085255582
body_x_pleasant,0.7069782863407216
small_x_benefit,0.7050259073354198
short_x_arousal,0.7042953915078718
near_x_pleasant,0.7039577706625003
scene_x_drive,0.7026930474417991
drive,0.7017265068088571
shape_x_scene,0.7010739316982931
near_x_attention,0.700044836310282
scene_x_toward,0.699516727844924
self_x_surprised,0.6992392656757527
away_x_long,0.697797436347028
shape_x_texture,0.6976050879291547
touch_x_drive,0.6974756071879682
toward_x_social,0.6974020155241358
taste_x_human,0.6973897349952942
short_x_communication,0.6966746674907925
shape_x_pleasant,0.6960244624222827
self_x_happy,0.6958930957789771
vision_x_drive,0.6944987585048656
shape_x_happy,0.6944838611933999
small_x_cognition,0.6941770580203169
practice_x_landmark,0.6939423451906392
duration_x_short,0.69355391699883
shape_x_weight,0.6925531399382937
shape_sq,0.691975981165106
lowerlimb_x_long,0.6918605727555908
color,0.690319691559314
toward_x_benefit,0.688733790517675
weight_x_drive,0.687316164334169
motion,0.6872834447836149
human_x_attention,0.6854979815844162
fast_x_duration,0.6839850623430063
pain_x_self,0.6838679865084097
fast_x_slow,0.6835621241517843
biomotion_x_fast,0.6821213983902014
pain_x_practice,0.6814280772366633
small_x_short,0.6802710186692209
slow_x_time,0.6797575608552415
short_x_caused,0.6783934751745884
motion_x_scene,0.677499286245574
texture_x_scene,0.6768362783650911
vision_x_weight,0.6767223118969012
touch_x_social,0.674667168339381
fast_x_consequential,0.6736052621050663
near_x_away,0.6727354404231143
vision_x_texture,0.6723104731667003
small_x_arousal,0.6709831817368068
touch_x_benefit,0.6701678693919402
vision_x_short,0.6690897559978125
scene_x_near,0.6690345290965815
motion_x_path,0.6685665042928397
human_sq,0.6675128534703916
vision_x_near,0.6665583973889201
practice_x_harm,0.6663755487113283
loud_x_self,0.6661986714480993
weight_x_pleasant,0.6659980926733897
motion_x_drive,0.6643088356742984
face_x_self,0.6632838418825
human_x_surprised,0.6632790607219149
fast_x_social,0.6629407265517278
small_x_path,0.6626972204610959
speech_x_short,0.6610475102769126
lowerlimb_x_time,0.6609247687271514
pattern_x_human,0.6608070441032082
shape_x_arousal,0.660680299591975
near_x_happy,0.6603002815715561
vision_x_toward,0.6591705533412522
lowerlimb_x_away,0.6567359425573113
color_x_shape,0.6563754196543435
short_x_pleasant,0.6554690528481534
color_x_scene,0.6554086088919598
large_x_small,0.6550787764474706
near_x_sad,0.6545617757817617
texture_x_weight,0.6529270977033877
biomotion_x_touch,0.652694564957445
near_x_fearful,0.6518952876634152
fast_x_caused,0.6501614685662425
motion_x_pleasant,0.6499057972146496
weight_x_happy,0.6497435382710074
away_x_benefit,0.6496382630596274
motion_x_body,0.6493833517909545
toward_x_long,0.6484008069792749
small_x_long,0.6474463201570613
lowerlimb,0.647432933613235
benefit_sq,0.6473175910501107
head_x_benefit,0.6464922243670145
pattern_x_drive,0.6442818629198878
path_x_attention,0.6439808400865245
vision_x_motion,0.6436958917940138
toward_x_away,0.6433455421743498
texture,0.6418371424895063
small_x_duration,0.6415395299860862
lowerlimb_x_social,0.6408710127310353
pattern_x_shape,0.6405936121825268
texture_x_short,0.6401915667649799
weight_x_upperlimb,0.6395625135363101
shape_x_upperlimb,0.6393035344864991
scene_x_human,0.6380951180468031
toward_x_communication,0.6379156230808067
small_x_scene,0.6369060966474361
self_x_needs,0.6359623552903616
fast_x_path,0.634841799483755
shape_x_complexity,0.6343914304643816
lowerlimb_x_unpleasant,0.6342697783396521
color_x_complexity,0.6335963833493983
consequential_x_benefit,0.6308976427822407
path_x_scene,0.6299942430382273
vision_x_pattern,0.6299073966670979
texture_x_consequential,0.6298321074171376
upperlimb_x_away,0.6297172495747853
lowerlimb_x_surprised,0.6288183263424308
toward,0.626971171147098
motion_x_upperlimb,0.6269419918060717
slow_x_landmark,0.6269080313483414
texture_x_arousal,0.62657828002055
motion_sq,0.6256131807643803
shape_x_social,0.6251638204148411
upperlimb_x_social,0.6247885558090913
weight_x_scene,0.6230862464752387
small_x_social,0.6228732423675515
duration_x_cognition,0.6224748165906566
shape_x_toward,0.622267808257729
sound_x_self,0.6210528809587076
benefit_x_attention,0.6198485599303318
lowerlimb_sq,0.6196851244902466
bright_x_shape,0.6190831149444276
weight_x_arousal,0.6184373115210804
color_x_weight,0.6183692113269795
temperature_x_benefit,0.6170773507621214
upperlimb_x_arousal,0.6164577840775145
toward_x_arousal,0.6152951328463749
shape_x_consequential,0.6150586612921889
bright_x_upperlimb,0.6147383228825106
complexity_x_upperlimb,0.6146650058953819
away_x_pleasant,0.6142970123202479
body_x_happy,0.6142377582884919
biomotion_x_pleasant,0.6117602395753811
landmark_x_drive,0.610660606474652
texture_x_toward,0.6100626572197494
motion_x_texture,0.6094202180963586
small_x_consequential,0.6094163779690774
path_x_surprised,0.6081250020149835
small_x_happy,0.6075496923940568
taste_x_sad,0.6065956922236465
texture_x_social,0.6065484598952748
upperlimb_x_lowerlimb,0.6057874363114661
complexity_x_near,0.6056864105068649
motion_x_shape,0.6055502767705476
toward_x_pleasant,0.6048664753188179
pattern_x_weight,0.6046996606521563
motion_x_happy,0.6039096951561863
pattern_x_toward,0.6037729920791658
upperlimb_x_attention,0.6026282860681088
motion_x_attention,0.6022948261063021
long_x_benefit,0.6021992688087001
landmark_x_consequential,0.6020045823307963
texture_x_happy,0.6018315463291941
texture_x_upperlimb,0.6015469224311608
weight_x_self,0.6011058307254378
duration_x_benefit,0.6009325431559205
color_x_benefit,0.6009305620287487
color_x_upperlimb,0.6006730001382681
fast_x_lowerlimb,0.6000243307962229
vision_x_cognition,0.5995678649354783
slow_x_needs,0.5979852585041333
weight_x_near,0.5977607244110605
touch_x_scene,0.5976406157557465
self_x_harm,0.5973714474831789
texture_x_near,0.596967654798882
shape_x_touch,0.5969043895603945
small_x_attention,0.5967821752096547
small_x_pleasant,0.5966131054737928
body_x_temperature,0.594189443796554
texture_x_pleasant,0.5936383577333265
sound_x_benefit,0.5918644293997247
body_x_communication,0.5911734162995942
small_x_upperlimb,0.5908508241184021
shape_x_near,0.5899933647211301
away_x_happy,0.5897028399090073
dark_x_angry,0.5895722998610228
shape_x_temperature,0.5892975562902033
texture_x_attention,0.5891784298921382
consequential,0.5890456048842949
dark_x_human,0.5885296125148319
pattern_x_upperlimb,0.5884218470560386
motion_x_arousal,0.5879783535428124
complexity_x_consequential,0.5866529313923725
upperlimb_sq,0.5860974000815651
scene_x_consequential,0.5848407141467528
pattern_x_near,0.5847979355454356
biomotion_x_benefit,0.5842364059987459
shape_x_attention,0.5832750383272296
duration_x_drive,0.5832550238274254
long_x_drive,0.5831660037936169
small_x_caused,0.5821999902417964
fast_x_long,0.5820487338364966
motion_x_touch,0.5817701243678115
duration_x_consequential,0.5811689020615955
audition_x_self,0.5791066243671332
pattern_x_motion,0.5774496671183857
benefit_x_drive,0.5773769996405007
large_x_benefit,0.5772620444129852
human_x_unpleasant,0.5768198638656672
weight_x_toward,0.5751767504276255
texture_x_self,0.5747908389144847
touch_x_toward,0.5742324936599983
fast_x_scene,0.5742005681052333
complexity_x_texture,0.5741915688008246
benefit_x_harm,0.5740085559043069
