feature,anova_f,anova_pvalue,mutual_information,max_abs_class_mean_contrast,rank_anova,rank_mi,rank_class_contrast,combined_rank
dark_x_smell,4.960260638003082,0.007422392391033922,0.03556332661004191,0.3498078086827098,1015.0,1346.0,1343.0,1234.6666666666667
consequential_x_communication,6.397010788576482,0.0018315107622948407,0.013453840422395613,0.42404083742878246,817.0,1865.0,1022.0,1234.6666666666667
texture_x_time,3.880410831078623,0.021377705392667805,0.022013076888998784,0.4791029250533087,1205.0,1706.0,794.0,1235.0
shape_x_harm,6.861759424055747,0.0011670189026785401,0.008983692034582491,0.42776022981707423,757.0,1943.0,1009.0,1236.3333333333333
toward_x_needs,6.0872743485962815,0.002474501261654326,0.015276980603280421,0.42398442076083775,856.0,1833.0,1023.0,1237.3333333333333
number_x_drive,3.473679699414156,0.031885825378286714,0.04523413693971934,0.35306738710066404,1286.0,1100.0,1327.0,1237.6666666666667
unpleasant_x_happy,3.95967176766531,0.019777072257954265,0.020076905007847312,0.48296072140514784,1191.0,1746.0,777.0,1238.0
face_x_human,0.9605747761316915,0.38350208221313037,0.18255177173710568,0.2365123603830766,1914.0,35.0,1770.0,1239.6666666666667
communication_x_pleasant,4.203751224436658,0.015565294952642283,0.042094685307412005,0.33617651013654476,1145.0,1175.0,1399.0,1239.6666666666667
loud_x_drive,3.513527655533468,0.030659977293705277,0.02933548668190289,0.4425900272309357,1279.0,1507.0,934.0,1240.0
communication,4.339600565100347,0.013624524471564788,0.039469475259641396,0.347365987481773,1116.0,1249.0,1356.0,1240.3333333333333
texture_x_music,2.6938699449074766,0.0687734332728086,0.07585428311592901,0.25043216519583356,1474.0,534.0,1714.0,1240.6666666666667
temperature,4.097060133135431,0.0172824398590725,0.04295939608217059,0.3329353953328936,1161.0,1151.0,1411.0,1241.0
face_x_body,1.2811244802620863,0.27879512195599904,0.19279368138132202,0.2017332178938602,1815.0,27.0,1885.0,1242.3333333333333
bright_x_number,5.8055383341361715,0.00325471815222107,0.026254505715058274,0.3693789271126704,890.0,1580.0,1257.0,1242.3333333333333
benefit_x_fearful,4.01188493691395,0.01878899716425121,0.025559308993469587,0.43803178577771773,1176.0,1600.0,958.0,1244.6666666666667
number_x_happy,3.210846932863493,0.041302559217942916,0.061706573493642614,0.27328748319580554,1338.0,755.0,1643.0,1245.3333333333333
large_x_away,2.818730453421776,0.0607979347223874,0.04163670418621335,0.4029572604959648,1437.0,1186.0,1113.0,1245.3333333333333
face_x_needs,1.5393201930486744,0.21572050611689825,0.10783849430766357,0.23050659933053472,1746.0,204.0,1787.0,1245.6666666666667
temperature_x_short,2.7393107852405962,0.06575595692573341,0.052019315928516274,0.3496311920329132,1454.0,939.0,1345.0,1246.0
caused_x_arousal,4.085998601812182,0.01747102024140723,0.03598841332775948,0.3729540966112902,1163.0,1333.0,1243.0,1246.3333333333333
scene_x_cognition,5.159606066770857,0.0061091783887859226,0.021723175059395805,0.4184333184201433,980.0,1713.0,1049.0,1247.3333333333333
weight_x_low,5.186117280800854,0.005953094109834308,0.030397887666672396,0.3625830198529191,976.0,1482.0,1286.0,1248.0
bright_x_happy,6.088774275373437,0.0024708956934731095,0.016820489213023926,0.4105225343484572,855.0,1807.0,1084.0,1248.6666666666667
away_x_needs,5.919144273587372,0.0029140670075477122,0.016654573501215353,0.4154264740567149,876.0,1812.0,1059.0,1249.0
biomotion_x_angry,2.9896213454751255,0.05136561331472075,0.05366277089414262,0.32296278345071233,1388.0,912.0,1448.0,1249.3333333333333
loud_x_near,4.914745535544361,0.007760005086968228,0.003631669842480756,0.5046625277818884,1026.0,2023.0,704.0,1251.0
consequential_x_cognition,3.3877802327392845,0.03469849289653093,0.04844544300181863,0.33248200221956853,1305.0,1035.0,1415.0,1251.6666666666667
weight_x_time,3.1341409149362103,0.04454509981863308,0.03771085340824376,0.4041049639571466,1360.0,1291.0,1109.0,1253.3333333333333
low_x_path,2.389587678353728,0.09289811152444322,0.05410121803326984,0.3568222332643763,1548.0,901.0,1311.0,1253.3333333333333
number_x_benefit,4.10273802887446,0.017186437012171867,0.04347224964060681,0.320241686003858,1160.0,1139.0,1462.0,1253.6666666666667
caused_x_needs,3.1309078443855425,0.04468725144165566,0.060577964366177905,0.28134323233865455,1361.0,781.0,1620.0,1254.0
motion_x_speech,1.5774955697587023,0.2076982214451603,0.09737342138795513,0.24543622874514712,1739.0,293.0,1732.0,1254.6666666666667
social_x_surprised,3.883644816308975,0.021309918239062607,0.023050251147441303,0.45337054438957947,1204.0,1673.0,890.0,1255.6666666666667
high_x_landmark,2.3766740622258298,0.09409206492670646,0.05371973299855726,0.35815818411664146,1553.0,910.0,1305.0,1256.0
biomotion_x_head,3.5596558239870797,0.029299929148532963,0.04182554724766918,0.35571309537598095,1271.0,1183.0,1315.0,1256.3333333333333
sound_x_short,3.086077898525843,0.04670596456609637,0.03422834424155363,0.42597016700446194,1369.0,1387.0,1017.0,1257.6666666666667
bright_x_loud,5.37224837003793,0.004964397815753589,0.030553703197303106,0.3484767610654135,951.0,1477.0,1349.0,1259.0
smell_x_path,3.5607022813176643,0.029269788761437848,0.027178714241556934,0.43975020577417856,1270.0,1559.0,954.0,1261.0
social_x_needs,2.4686973200073146,0.08590892960726998,0.06183213202516091,0.31185283166087574,1524.0,753.0,1508.0,1261.6666666666667
touch_x_communication,3.7269726167643014,0.02485573699025261,0.04896474365566994,0.30459696238024647,1238.0,1016.0,1536.0,1263.3333333333333
communication_x_drive,5.518312954449776,0.004305428994121862,0.02455649716615138,0.37359796341983575,928.0,1630.0,1241.0,1266.3333333333333
face_x_touch,1.3669988839776959,0.2559890159070571,0.11533666287734912,0.21809944846952165,1795.0,168.0,1837.0,1266.6666666666667
face_x_upperlimb,1.2838822185230965,0.2780319368529337,0.10613773301104956,0.23595247361113442,1813.0,216.0,1772.0,1267.0
happy_x_surprised,2.916896639067103,0.055185310435091346,0.04077149673886504,0.3903828338506362,1409.0,1215.0,1177.0,1267.0
number_x_short,2.205212534635251,0.11148682901638007,0.057156983987868726,0.3446261124651723,1594.0,844.0,1363.0,1267.0
audition_x_away,3.79392391980087,0.023273176423436,0.020410217661074315,0.466229509164003,1223.0,1734.0,844.0,1267.0
audition_x_toward,4.050037151119275,0.01809850742646647,0.01673002562439896,0.47230320715951407,1170.0,1811.0,821.0,1267.3333333333333
