model,class_raw,class_display,feature,coefficient,abs_coefficient,is_nonzero
Elastic Net,noun,Thing,drive,1.8690904984481858,1.8690904984481858,True
Elastic Net,noun,Thing,fast,0.09330344621386928,0.09330344621386928,True
Elastic Net,noun,Thing,weight,0.22826123155766148,0.22826123155766148,True
Elastic Net,noun,Thing,small,0.10467470922751253,0.10467470922751253,True
Elastic Net,noun,Thing,motion,1.6571577098896817,1.6571577098896817,True
Elastic Net,noun,Thing,toward,-0.4871022897982111,0.4871022897982111,True
Elastic Net,noun,Thing,pattern,-0.3801451775786707,0.3801451775786707,True
Elastic Net,noun,Thing,bright,0.16455746859376438,0.16455746859376438,True
Elastic Net,noun,Thing,lowerlimb,0.48512451730481865,0.48512451730481865,True
Elastic Net,noun,Thing,smell,0.4563874431754249,0.4563874431754249,True
Elastic Net,noun,Thing,duration,-1.5127136133476473,1.5127136133476473,True
Elastic Net,noun,Thing,large,0.33694195196049614,0.33694195196049614,True
Elastic Net,noun,Thing,landmark,0.0,0.0,False
Elastic Net,noun,Thing,face,0.6394573654033574,0.6394573654033574,True
Elastic Net,noun,Thing,sound,0.11998593107746539,0.11998593107746539,True
Elastic Net,noun,Thing,audition,0.5516383577013559,0.5516383577013559,True
Elastic Net,noun,Thing,head,1.0413830974149827,1.0413830974149827,True
Elastic Net,noun,Thing,scene,0.4815579373933162,0.4815579373933162,True
Elastic Net,noun,Thing,loud,0.2613024356447684,0.2613024356447684,True
Elastic Net,noun,Thing,number,0.5382350338470887,0.5382350338470887,True
Elastic Net,noun,Thing,surprised,1.7089840409031736,1.7089840409031736,True
Elastic Net,noun,Thing,high,0.5272843975287087,0.5272843975287087,True
Elastic Net,noun,Thing,temperature,0.1917611783755015,0.1917611783755015,True
Elastic Net,noun,Thing,speech,-0.1397167103861654,0.1397167103861654,True
Elastic Net,noun,Thing,communication,-0.6771664140222328,0.6771664140222328,True
Elastic Net,noun,Thing,low,-0.21454860827161298,0.21454860827161298,True
Elastic Net,noun,Thing,arousal,-1.2189474695928455,1.2189474695928455,True
Elastic Net,noun,Thing,happy,-0.4373038134497052,0.4373038134497052,True
Elastic Net,noun,Thing,social,0.4582590614655697,0.4582590614655697,True
Elastic Net,noun,Thing,music,-0.7571426190811155,0.7571426190811155,True
Elastic Net,noun,Thing,sad,0.29381050052151564,0.29381050052151564,True
Elastic Net,noun,Thing,cognition,-0.03779591615948456,0.03779591615948456,True
Elastic Net,noun,Thing,time,1.1012123182320974,1.1012123182320974,True
Elastic Net,noun,Thing,touch,-0.23432552405928048,0.23432552405928048,True
Elastic Net,noun,Thing,pleasant,-0.0804694584348954,0.0804694584348954,True
Elastic Net,noun,Thing,needs,0.1283509857045825,0.1283509857045825,True
Elastic Net,noun,Thing,angry,-0.6953485810220611,0.6953485810220611,True
Elastic Net,noun,Thing,harm,0.6818328130284321,0.6818328130284321,True
Elastic Net,noun,Thing,taste,-0.7776859625597672,0.7776859625597672,True
Elastic Net,noun,Thing,long,0.6535054302754452,0.6535054302754452,True
Elastic Net,noun,Thing,attention,-0.5655482425464081,0.5655482425464081,True
