model,class_raw,class_display,feature,coefficient,abs_coefficient,is_nonzero
LASSO,adjective,Property,short,-3.4221274364800474,3.4221274364800474,True
LASSO,adjective,Property,self,0.1081079811774733,0.1081079811774733,True
LASSO,adjective,Property,practice,0.3191108584751445,0.3191108584751445,True
LASSO,adjective,Property,path,0.1207352905656172,0.1207352905656172,True
LASSO,adjective,Property,human,-0.15157715877348457,0.15157715877348457,True
LASSO,adjective,Property,shape,-0.034866093855561706,0.034866093855561706,True
LASSO,adjective,Property,complexity,1.4265692339490494,1.4265692339490494,True
LASSO,adjective,Property,body,0.2985205871488291,0.2985205871488291,True
LASSO,adjective,Property,color,-0.24402676378807006,0.24402676378807006,True
LASSO,adjective,Property,biomotion,-1.3866959379360384,1.3866959379360384,True
LASSO,adjective,Property,near,-3.0293380665318894,3.0293380665318894,True
LASSO,adjective,Property,away,0.28558182130261606,0.28558182130261606,True
LASSO,adjective,Property,caused,-0.56321805158605,0.56321805158605,True
LASSO,adjective,Property,texture,-2.0661972184204016,2.0661972184204016,True
LASSO,adjective,Property,upperlimb,-1.090000547274021,1.090000547274021,True
LASSO,adjective,Property,consequential,-0.8455860762304,0.8455860762304,True
LASSO,adjective,Property,benefit,-0.14485139239600026,0.14485139239600026,True
LASSO,adjective,Property,vision,1.1660373130160253,1.1660373130160253,True
LASSO,adjective,Property,slow,0.01061812719460708,0.01061812719460708,True
LASSO,adjective,Property,drive,-0.7609204537404607,0.7609204537404607,True
LASSO,adjective,Property,fast,-0.33803226281691484,0.33803226281691484,True
LASSO,adjective,Property,weight,-0.09992121164074358,0.09992121164074358,True
LASSO,adjective,Property,small,-0.13366243604223776,0.13366243604223776,True
LASSO,adjective,Property,motion,-1.9497544509798823,1.9497544509798823,True
LASSO,adjective,Property,toward,0.9748795171135807,0.9748795171135807,True
LASSO,adjective,Property,pattern,0.0,0.0,False
LASSO,adjective,Property,bright,0.0,0.0,False
LASSO,adjective,Property,lowerlimb,0.0,0.0,False
LASSO,adjective,Property,smell,-0.15893831616623852,0.15893831616623852,True
LASSO,adjective,Property,duration,0.7848020172581514,0.7848020172581514,True
LASSO,adjective,Property,large,-0.7824700487505455,0.7824700487505455,True
LASSO,adjective,Property,landmark,-0.7458308509907071,0.7458308509907071,True
LASSO,adjective,Property,face,0.017484335604535602,0.017484335604535602,True
LASSO,adjective,Property,sound,0.08036370222639018,0.08036370222639018,True
LASSO,adjective,Property,audition,-0.05261069075344202,0.05261069075344202,True
LASSO,adjective,Property,head,-1.4091453286818492,1.4091453286818492,True
LASSO,adjective,Property,scene,-0.33054365651083106,0.33054365651083106,True
LASSO,adjective,Property,loud,-0.9206262554437367,0.9206262554437367,True
LASSO,adjective,Property,number,0.07657100261772508,0.07657100261772508,True
