split,class,count,percent
train,adjective,31,7.242990654205607
train,noun,347,81.07476635514018
train,verb,50,11.682242990654206
test,adjective,8,7.476635514018691
test,noun,87,81.30841121495327
test,verb,12,11.214953271028037
