class,feature,coefficient,abs_coefficient,model,target
Cluster_02,human,0.8640719425718039,0.8640719425718039,elastic_net,kmeans_k3
Cluster_01,caused,0.8274974671966538,0.8274974671966538,elastic_net,kmeans_k3
Cluster_02,duration,0.7532036618818493,0.7532036618818493,elastic_net,kmeans_k3
Cluster_01,pain,0.7516287039299709,0.7516287039299709,elastic_net,kmeans_k3
Cluster_03,human,-0.7150061363398603,0.7150061363398603,elastic_net,kmeans_k3
Cluster_03,duration,-0.7062473631354554,0.7062473631354554,elastic_net,kmeans_k3
Cluster_03,practice,0.6704727777905812,0.6704727777905812,elastic_net,kmeans_k3
Cluster_01,unpleasant,0.5844543097664988,0.5844543097664988,elastic_net,kmeans_k3
Cluster_03,bright,0.5810089508832772,0.5810089508832772,elastic_net,kmeans_k3
Cluster_01,consequential,0.5571782798189749,0.5571782798189749,elastic_net,kmeans_k3
Cluster_02,pain,-0.5551014817859548,0.5551014817859548,elastic_net,kmeans_k3
Cluster_01,happy,-0.5512963192627717,0.5512963192627717,elastic_net,kmeans_k3
Cluster_02,time,0.5270214977583668,0.5270214977583668,elastic_net,kmeans_k3
Cluster_03,weight,0.5198254012999067,0.5198254012999067,elastic_net,kmeans_k3
Cluster_03,cognition,-0.5050674909573056,0.5050674909573056,elastic_net,kmeans_k3
Cluster_01,attention,0.48091790544677754,0.48091790544677754,elastic_net,kmeans_k3
Cluster_02,weight,-0.445679676251949,0.445679676251949,elastic_net,kmeans_k3
Cluster_03,caused,-0.43429857628564544,0.43429857628564544,elastic_net,kmeans_k3
Cluster_03,consequential,-0.43037107720713846,0.43037107720713846,elastic_net,kmeans_k3
Cluster_03,texture,0.42371876595239427,0.42371876595239427,elastic_net,kmeans_k3
Cluster_01,angry,0.4079360223559154,0.4079360223559154,elastic_net,kmeans_k3
Cluster_01,sad,0.3936739127427921,0.3936739127427921,elastic_net,kmeans_k3
Cluster_02,benefit,0.376668613466819,0.376668613466819,elastic_net,kmeans_k3
Cluster_03,drive,-0.37643351472590303,0.37643351472590303,elastic_net,kmeans_k3
Cluster_01,pleasant,-0.37195789289596276,0.37195789289596276,elastic_net,kmeans_k3
Cluster_01,needs,-0.36449316090822437,0.36449316090822437,elastic_net,kmeans_k3
Cluster_03,touch,0.3447422415962655,0.3447422415962655,elastic_net,kmeans_k3
Cluster_01,fearful,0.34185499721136264,0.34185499721136264,elastic_net,kmeans_k3
Cluster_01,disgusted,0.3384809059983763,0.3384809059983763,elastic_net,kmeans_k3
Cluster_02,sad,-0.3247545035841345,0.3247545035841345,elastic_net,kmeans_k3
Cluster_02,self,0.3215339562219507,0.3215339562219507,elastic_net,kmeans_k3
Cluster_01,harm,0.3186920105637783,0.3186920105637783,elastic_net,kmeans_k3
Cluster_02,touch,-0.31790452713711115,0.31790452713711115,elastic_net,kmeans_k3
Cluster_02,sound,-0.2958050675218673,0.2958050675218673,elastic_net,kmeans_k3
Cluster_03,scene,0.2870266595450926,0.2870266595450926,elastic_net,kmeans_k3
Cluster_01,surprised,0.2847550915482109,0.2847550915482109,elastic_net,kmeans_k3
Cluster_02,speech,0.27660107146768137,0.27660107146768137,elastic_net,kmeans_k3
Cluster_03,long,-0.27135161000257757,0.27135161000257757,elastic_net,kmeans_k3
Cluster_03,short,-0.2510462037090337,0.2510462037090337,elastic_net,kmeans_k3
Cluster_02,unpleasant,-0.2442483788104975,0.2442483788104975,elastic_net,kmeans_k3
Cluster_01,audition,0.2407563482194669,0.2407563482194669,elastic_net,kmeans_k3
Cluster_02,pattern,-0.2305070363888475,0.2305070363888475,elastic_net,kmeans_k3
Cluster_03,shape,0.22852221259939218,0.22852221259939218,elastic_net,kmeans_k3
Cluster_03,color,0.22610617510243242,0.22610617510243242,elastic_net,kmeans_k3
Cluster_02,biomotion,0.22488187440436236,0.22488187440436236,elastic_net,kmeans_k3
Cluster_03,small,0.21029031958000025,0.21029031958000025,elastic_net,kmeans_k3
Cluster_02,texture,-0.2101754129339537,0.2101754129339537,elastic_net,kmeans_k3
Cluster_01,short,0.20190304842045323,0.20190304842045323,elastic_net,kmeans_k3
Cluster_02,number,0.1995022908574714,0.1995022908574714,elastic_net,kmeans_k3
Cluster_02,happy,0.19927264620452587,0.19927264620452587,elastic_net,kmeans_k3
Cluster_02,temperature,-0.19003213757580104,0.19003213757580104,elastic_net,kmeans_k3
Cluster_02,smell,-0.18839100678086487,0.18839100678086487,elastic_net,kmeans_k3
Cluster_03,pattern,0.17909831290893477,0.17909831290893477,elastic_net,kmeans_k3
Cluster_02,low,-0.17341999016243848,0.17341999016243848,elastic_net,kmeans_k3
Cluster_02,bright,-0.17132552598270434,0.17132552598270434,elastic_net,kmeans_k3
Cluster_02,dark,-0.16657699404959764,0.16657699404959764,elastic_net,kmeans_k3
