class,feature,coefficient,abs_coefficient,model,target
Cluster_02,bright,0.0,0.0,lasso,kmeans_k3
Cluster_02,harm,0.0,0.0,lasso,kmeans_k3
Cluster_03,harm,0.0,0.0,lasso,kmeans_k3
Cluster_02,drive,0.0,0.0,lasso,kmeans_k3
Cluster_01,drive,0.0,0.0,lasso,kmeans_k3
Cluster_03,fearful,0.0,0.0,lasso,kmeans_k3
Cluster_01,vision,0.0,0.0,lasso,kmeans_k3
Cluster_01,human,0.0,0.0,lasso,kmeans_k3
Cluster_03,pain,0.0,0.0,lasso,kmeans_k3
Cluster_02,vision,0.0,0.0,lasso,kmeans_k3
Cluster_02,surprised,0.0,0.0,lasso,kmeans_k3
Cluster_03,surprised,0.0,0.0,lasso,kmeans_k3
Cluster_01,touch,0.0,0.0,lasso,kmeans_k3
Cluster_01,pattern,0.0,0.0,lasso,kmeans_k3
Cluster_03,pattern,0.0,0.0,lasso,kmeans_k3
Cluster_02,small,0.0,0.0,lasso,kmeans_k3
Cluster_02,social,0.0,0.0,lasso,kmeans_k3
Cluster_01,practice,0.0,0.0,lasso,kmeans_k3
Cluster_02,short,0.0,0.0,lasso,kmeans_k3
Cluster_03,social,0.0,0.0,lasso,kmeans_k3
Cluster_01,small,0.0,0.0,lasso,kmeans_k3
Cluster_01,social,0.0,0.0,lasso,kmeans_k3
Cluster_03,arousal,0.0,0.0,lasso,kmeans_k3
Cluster_03,benefit,0.0,0.0,lasso,kmeans_k3
Cluster_01,duration,0.0,0.0,lasso,kmeans_k3
Cluster_03,attention,0.0,0.0,lasso,kmeans_k3
Cluster_02,attention,0.0,0.0,lasso,kmeans_k3
Cluster_03,speech,0.0,0.0,lasso,kmeans_k3
Cluster_02,speech,0.0,0.0,lasso,kmeans_k3
Cluster_02,practice,0.0,0.0,lasso,kmeans_k3
Cluster_01,speech,0.0,0.0,lasso,kmeans_k3
Cluster_03,self,0.0,0.0,lasso,kmeans_k3
Cluster_01,self,0.0,0.0,lasso,kmeans_k3
Cluster_02,face,0.0,0.0,lasso,kmeans_k3
Cluster_03,face,0.0,0.0,lasso,kmeans_k3
Cluster_02,communication,0.0,0.0,lasso,kmeans_k3
Cluster_01,communication,0.0,0.0,lasso,kmeans_k3
Cluster_02,long,0.0,0.0,lasso,kmeans_k3
Cluster_03,long,0.0,0.0,lasso,kmeans_k3
Cluster_01,face,0.0,0.0,lasso,kmeans_k3
Cluster_01,long,0.0,0.0,lasso,kmeans_k3
Cluster_01,dark,0.0,0.0,lasso,kmeans_k3
Cluster_03,needs,0.0,0.0,lasso,kmeans_k3
Cluster_02,needs,0.0,0.0,lasso,kmeans_k3
Cluster_03,communication,0.0,0.0,lasso,kmeans_k3
Cluster_01,smell,0.0,0.0,lasso,kmeans_k3
Cluster_01,near,0.0,0.0,lasso,kmeans_k3
Cluster_02,near,0.0,0.0,lasso,kmeans_k3
Cluster_03,dark,0.0,0.0,lasso,kmeans_k3
Cluster_03,near,0.0,0.0,lasso,kmeans_k3
Cluster_01,time,0.0,0.0,lasso,kmeans_k3
Cluster_03,time,0.0,0.0,lasso,kmeans_k3
Cluster_01,taste,0.0,0.0,lasso,kmeans_k3
Cluster_03,happy,0.0,0.0,lasso,kmeans_k3
Cluster_03,temperature,0.0,0.0,lasso,kmeans_k3
Cluster_01,temperature,0.0,0.0,lasso,kmeans_k3
Cluster_02,arousal,0.0,0.0,lasso,kmeans_k3
Cluster_02,complexity,0.0,0.0,lasso,kmeans_k3
Cluster_01,complexity,0.0,0.0,lasso,kmeans_k3
Cluster_03,taste,0.0,0.0,lasso,kmeans_k3
Cluster_02,taste,0.0,0.0,lasso,kmeans_k3
Cluster_01,biomotion,0.0,0.0,lasso,kmeans_k3
Cluster_02,biomotion,0.0,0.0,lasso,kmeans_k3
Cluster_01,scene,0.0,0.0,lasso,kmeans_k3
Cluster_03,complexity,0.0,0.0,lasso,kmeans_k3
Cluster_02,upperlimb,0.0,0.0,lasso,kmeans_k3
Cluster_03,upperlimb,0.0,0.0,lasso,kmeans_k3
Cluster_01,body,0.0,0.0,lasso,kmeans_k3
Cluster_02,body,0.0,0.0,lasso,kmeans_k3
Cluster_03,body,0.0,0.0,lasso,kmeans_k3
Cluster_01,large,0.0,0.0,lasso,kmeans_k3
Cluster_03,biomotion,0.0,0.0,lasso,kmeans_k3
Cluster_02,scene,0.0,0.0,lasso,kmeans_k3
Cluster_03,large,0.0,0.0,lasso,kmeans_k3
Cluster_01,fast,0.0,0.0,lasso,kmeans_k3
Cluster_03,fast,0.0,0.0,lasso,kmeans_k3
Cluster_02,fast,0.0,0.0,lasso,kmeans_k3
Cluster_02,loud,0.0,0.0,lasso,kmeans_k3
Cluster_03,loud,0.0,0.0,lasso,kmeans_k3
Cluster_01,head,0.0,0.0,lasso,kmeans_k3
Cluster_01,loud,0.0,0.0,lasso,kmeans_k3
Cluster_02,head,0.0,0.0,lasso,kmeans_k3
Cluster_03,head,0.0,0.0,lasso,kmeans_k3
Cluster_02,low,0.0,0.0,lasso,kmeans_k3
Cluster_01,low,0.0,0.0,lasso,kmeans_k3
Cluster_03,low,0.0,0.0,lasso,kmeans_k3
Cluster_02,audition,0.0,0.0,lasso,kmeans_k3
Cluster_02,large,0.0,0.0,lasso,kmeans_k3
Cluster_01,upperlimb,0.0,0.0,lasso,kmeans_k3
Cluster_01,high,0.0,0.0,lasso,kmeans_k3
Cluster_03,audition,0.0,0.0,lasso,kmeans_k3
Cluster_02,high,0.0,0.0,lasso,kmeans_k3
Cluster_03,high,0.0,0.0,lasso,kmeans_k3
Cluster_03,landmark,0.0,0.0,lasso,kmeans_k3
Cluster_01,toward,0.0,0.0,lasso,kmeans_k3
Cluster_01,landmark,0.0,0.0,lasso,kmeans_k3
