feature,anova_f_score,anova_p_value,anova_rank,mutual_information,mi_rank,mean_rank
consequential,349.67889131292435,1.6422336050002382e-90,2.0,0.47327968061374137,2.0,2.0
unpleasant,661.1090868760141,3.418855381725514e-131,1.0,0.41442110150197076,4.0,2.5
pattern,332.91908649926904,1.0199481166270834e-87,4.0,0.46319708190274067,3.0,3.5
texture,339.28396035781043,8.666540433488977e-89,3.0,0.37177189099036956,6.0,4.5
caused,270.46453589763854,1.7052368281204034e-76,8.0,0.4876948659824527,1.0,4.5
angry,308.4929884883451,1.7258353156516288e-83,5.0,0.363561904540177,7.0,6.0
sad,272.34557806390836,7.465222474995632e-77,7.0,0.33789630010602956,8.0,7.5
shape,281.12311314948835,1.6490454971903623e-78,6.0,0.3269055231686684,10.0,8.0
color,219.34027725387068,3.610813214300834e-66,13.0,0.3743319854750702,5.0,9.0
disgusted,253.9841662542665,2.7285428510099922e-73,10.0,0.3107022796678156,13.0,11.5
weight,253.21998001223596,3.8657934912501135e-73,11.0,0.31626848573864175,12.0,11.5
fearful,264.84016811932565,2.0550738764560633e-75,9.0,0.29312937939570527,17.0,13.0
vision,160.12770344841954,1.471656078651688e-52,17.0,0.330609724128182,9.0,13.0
surprised,163.19232844336673,2.581689921765389e-53,16.0,0.29832522712846044,16.0,16.0
touch,167.0127401041857,3.0072680870559115e-54,15.0,0.2914417354726775,19.0,17.0
pain,252.50864137674563,5.349412004359336e-73,12.0,0.28101286962608985,22.0,17.0
human,110.96597365111985,1.679559864786324e-39,20.0,0.29845473111259957,15.0,17.5
harm,169.34584022400074,8.176359819206992e-55,14.0,0.24594667994492503,25.0,19.5
drive,145.7504285075026,6.2964515883644446e-49,18.0,0.2825175076091404,21.0,19.5
bright,71.12825110665557,2.2620779120352325e-27,29.0,0.3213303570515136,11.0,20.0
pleasant,96.99945181114622,1.9886034088764317e-35,23.0,0.29292729371857207,18.0,20.5
cognition,105.77722998319571,5.219032505139954e-38,21.0,0.2855536396834719,20.0,20.5
arousal,137.5621980940339,8.568706578908076e-47,19.0,0.2736529763225797,23.0,21.0
temperature,70.85149779690178,2.7835697976800456e-27,30.0,0.3076766657522845,14.0,22.0
happy,82.20336604898897,6.598429650587401e-31,27.0,0.24788202227238432,24.0,25.5
social,92.96492874946598,3.232106302279228e-34,25.0,0.21139987535999638,27.0,26.0
small,95.59182799232845,5.238844669496328e-35,24.0,0.18373602249343035,29.0,26.5
benefit,104.74950318312345,1.0376993449960973e-37,22.0,0.17817416601215008,31.0,26.5
duration,66.66618108538057,6.575478644662911e-26,31.0,0.228809405862207,26.0,28.5
short,88.5794571013957,6.982881193243259e-33,26.0,0.1700465421861148,33.0,29.5
practice,74.03811904484303,2.5853083651889486e-28,28.0,0.16984920681846138,34.0,31.0
speech,47.1460619364851,3.2185021491883513e-19,35.0,0.20930018341207646,28.0,31.5
attention,58.32047834063135,4.158671633373018e-23,34.0,0.18140277246559466,30.0,32.0
