model,class_display,total_coefficients,zero_coefficients,nonzero_coefficients,zero_share,nonzero_share,max_abs_coefficient
LASSO,Action,65,15,50,0.23076923076923078,0.7692307692307693,4.443923161900163
LASSO,Property,65,5,60,0.07692307692307693,0.9230769230769231,3.422127436480048
LASSO,Thing,65,3,62,0.046153846153846156,0.9538461538461539,4.799638540060006
Elastic Net,Action,65,1,64,0.015384615384615385,0.9846153846153847,2.8865005300469107
Elastic Net,Property,65,1,64,0.015384615384615385,0.9846153846153847,2.666150063935471
Elastic Net,Thing,65,1,64,0.015384615384615385,0.9846153846153847,3.747788741568032
