model,model_type,split,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Baseline multinomial,baseline,train,65,1.0,1.0,1.0,1.0,1.0,1.0
Baseline multinomial,baseline,test,65,0.9532710280373832,0.9190613026819924,0.8683006535947712,0.9190613026819924,0.8903962101636519,0.9551305271800816
LASSO,regularized,train,65,1.0,1.0,1.0,1.0,1.0,1.0
LASSO,regularized,test,65,0.9532710280373832,0.9190613026819924,0.8683006535947713,0.9190613026819924,0.8903962101636519,0.9551305271800816
Elastic Net,regularized,train,65,1.0,1.0,1.0,1.0,1.0,1.0
Elastic Net,regularized,test,65,0.9532710280373832,0.9190613026819924,0.8683006535947713,0.9190613026819924,0.8903962101636519,0.9551305271800816
Post-selection Logistic,post_selection,train,65,1.0,1.0,1.0,1.0,1.0,1.0
Post-selection Logistic,post_selection,test,65,0.9719626168224299,0.9267241379310344,0.9220945083014049,0.9267241379310344,0.9228522993405258,0.9725840762961016
